cantante,nacionalidad,fecha_nac,concierto,num_canciones,duracion,recinto,pais,continente,max_entradas,entradas_vendidas
Halsey,Estadounidense,1994-09-29 00:00:00,Hopeless Fountain Kingdom Tour,18,100,Madison Square Garden,Estados Unidos,América del Norte,20000,15203
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,River Plate Stadium,Argentina,América del Sur,83000,74350
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Mercury World Tour,22,110,O2 Arena,Reino Unido,Europa,20000,12711
Rihanna,Barbadense,1988-02-20 00:00:00,Loud Tour,22,110,Rogers Centre,Canadá,América del Norte,50000,44812
Coldplay,Británico,2000-01-01 00:00:00,Music of the Spheres World Tour,25,125,United Center,Estados Unidos,América del Norte,21000,13234
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Wembley Stadium,Reino Unido,Europa,90000,66356
Halsey,Estadounidense,1994-09-29 00:00:00,Hopeless Fountain Kingdom Tour,18,100,Rod Laver Arena,Australia,Oceanía,15000,9261
Justin Bieber,Canadiense,1994-03-01 00:00:00,Justice World Tour,22,110,Wembley Stadium,Reino Unido,Europa,90000,59219
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Moonshine Jungle Tour,20,105,River Plate Stadium,Argentina,América del Sur,83000,54381
Lorde,Neozelandesa,1996-11-07 00:00:00,Solar Power Tour,17,95,Scotiabank Arena,Canadá,América del Norte,20000,12254
Coldplay,Británico,2000-01-01 00:00:00,A Head Full of Dreams Tour,24,120,Staples Center,Estados Unidos,América del Norte,20000,15870
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Night Visions Tour,17,95,Movistar Arena Madrid,España,Europa,17000,14772
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Reputation Stadium Tour,24,120,United Center,Estados Unidos,América del Norte,21000,12228
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,Maracanã Stadium,Brasil,América del Sur,78000,75949
Maroon 5,Estadounidense,2000-01-01 00:00:00,V Tour,19,100,Rod Laver Arena,Australia,Oceanía,15000,14138
Coldplay,Británico,2000-01-01 00:00:00,Music of the Spheres World Tour,25,125,Accor Arena,Francia,Europa,20000,14059
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,O2 Arena,Reino Unido,Europa,20000,19384
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Evolve World Tour,20,105,Staples Center,Estados Unidos,América del Norte,20000,18011
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Santiago Bernabéu,España,Europa,81000,74501
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,Maracanã Stadium,Brasil,América del Sur,78000,59934
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,River Plate Stadium,Argentina,América del Sur,83000,72893
Halsey,Estadounidense,1994-09-29 00:00:00,Hopeless Fountain Kingdom Tour,18,100,Estadio Azteca,México,América del Norte,87000,81058
Maroon 5,Estadounidense,2000-01-01 00:00:00,Overexposed Tour,18,95,Rod Laver Arena,Australia,Oceanía,15000,10892
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,Santiago Bernabéu,España,Europa,81000,67042
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Evolve World Tour,20,105,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,79851
